,video_id,thumnail_url,features
0,vPx6M7eTYbc,https://i.ytimg.com/vi/vPx6M7eTYbc/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       15.501014]
   [ 0.        0.        0.       ...  0.        0.       41.464207]
   [ 0.        0.        0.       ...  0.        0.       10.276809]]

  [[ 0.        0.        0.       ...  0.        0.       53.555695]
   [ 0.        0.        0.       ...  9.475422  0.       89.12955 ]
   [ 0.        0.        0.       ...  0.        0.       26.413599]]]]"
1,sg8WaeeFyNY,https://i.ytimg.com/vi/sg8WaeeFyNY/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       25.193268]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        4.790409]]]]"
2,q1PR05q8l2g,https://i.ytimg.com/vi/q1PR05q8l2g/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       18.477577]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [20.016949  0.        0.       ...  0.        0.       45.90018 ]
   [19.463268  0.        0.       ...  0.        0.       78.87537 ]]]]"
3,t6Z6RIXq0L0,https://i.ytimg.com/vi/t6Z6RIXq0L0/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    18.18837  ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]

  [[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     3.6375747]
   [ 0.         0.         0.        ...  0.         0.
    25.569214 ]]]]"
4,TGDpRB4ovvA,https://i.ytimg.com/vi/TGDpRB4ovvA/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
     55.22611 ]
   [  0.         0.         0.       ...   0.         0.
     58.803207]
   [  0.         0.         0.       ...   0.         0.
     61.616802]]

  [[  0.         0.         0.       ...   0.         0.
     59.69354 ]
   [  0.         0.         0.       ...   0.         0.
     93.20327 ]
   [  0.         0.         0.       ...   0.         0.
    107.001396]]]]"
5,aS_dFYGKoKg,https://i.ytimg.com/vi/aS_dFYGKoKg/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
      0.      ]
   [  0.         0.         0.       ...   0.         0.
    103.937904]
   [  0.         0.         0.       ...   0.         0.
     98.88613 ]]

  [[  0.         0.         0.       ...   0.         0.
     14.599927]
   [  0.         0.         0.       ...   0.         0.
    138.85057 ]
   [  0.         0.         0.       ...   0.         0.
    125.89339 ]]]]"
6,y7TlnQq6XzI,https://i.ytimg.com/vi/y7TlnQq6XzI/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.3602686
     9.129051 ]]

  [[ 0.         0.         0.        ...  0.         0.
    29.641556 ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]]]"
7,h2NXZTrZEBk,https://i.ytimg.com/vi/h2NXZTrZEBk/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       16.812841]
   [ 0.        0.        0.       ...  0.        0.       26.493896]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       16.363148]
   [ 0.        0.        0.       ...  0.        0.       67.1293  ]]]]"
8,tCf0HPvviaM,https://i.ytimg.com/vi/tCf0HPvviaM/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     4.181133 ]
   [ 0.         0.         0.        ...  0.         0.
    31.947561 ]
   [ 0.         0.         0.        ...  0.         0.
    13.234148 ]]

  [[ 0.         0.         0.        ...  0.         0.
    29.909071 ]
   [ 0.         0.         0.        ...  1.5115451  0.
    52.641594 ]
   [ 0.         0.         0.        ...  0.         0.
    78.06983  ]]]]"
9,fkQfM8fetN8,https://i.ytimg.com/vi/fkQfM8fetN8/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     1.7697072]
   [ 0.         0.         0.        ...  0.         0.
    27.263159 ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]

  [[ 0.         0.         0.        ...  0.         0.
    23.710262 ]
   [ 0.         0.         0.        ...  0.         0.
    38.153877 ]
   [ 4.8881598  0.         0.        ...  0.         0.
     6.4614873]]]]"
10,#NAME?,https://i.ytimg.com/vi/-pM-GaLh5v0/default.jpg,"[[[[0.       0.       0.       ... 0.       0.       0.      ]
   [0.       0.       4.23098  ... 0.       0.       0.      ]
   [0.       0.       0.       ... 0.       0.       5.378747]]

  [[0.       0.       0.       ... 0.       0.       0.      ]
   [0.       0.       0.       ... 0.       0.       0.      ]
   [0.       0.       0.       ... 0.       0.       0.      ]]]]"
11,4ihUUcPsfII,https://i.ytimg.com/vi/4ihUUcPsfII/default.jpg,"[[[[0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        4.8579645]
   [0.        0.        0.        ... 0.        0.        0.       ]]

  [[0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]]]"
12,lXuvGtB_LOU,https://i.ytimg.com/vi/lXuvGtB_LOU/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
      0.      ]
   [  0.         0.         0.       ...   0.         0.
      0.      ]
   [  0.         0.         0.       ...   0.         0.
      0.      ]]

  [[  7.578223   0.         0.       ...   0.         0.
     46.81841 ]
   [ 15.306263   0.         0.       ...   0.         0.
    107.40176 ]
   [  7.494073   0.         0.       ...   0.         0.
    132.77577 ]]]]"
13,YU58UOXGrqU,https://i.ytimg.com/vi/YU58UOXGrqU/default.jpg,"[[[[0.        0.        0.        ... 0.        0.8487817 0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]

  [[0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]]]"
14,hPZDZsHShwg,https://i.ytimg.com/vi/hPZDZsHShwg/default.jpg,"[[[[  0.          0.          0.        ...   0.          0.
     48.963123 ]
   [  0.          0.          0.        ...   0.          0.
     72.86223  ]
   [  0.          0.          0.        ...   0.          0.
     46.527866 ]]

  [[  0.          0.          0.        ...   0.          0.
     92.935326 ]
   [  0.          0.          0.        ...   0.          0.
    134.56577  ]
   [  2.8366125   0.          0.        ...   0.          0.
    103.61564  ]]]]"
15,_SwBtGzEZhc,https://i.ytimg.com/vi/_SwBtGzEZhc/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]

  [[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ... 14.2669935  0.
     0.       ]]]]"
16,wc_f5fU3w7o,https://i.ytimg.com/vi/wc_f5fU3w7o/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
17,HJ1ZavgU69U,https://i.ytimg.com/vi/HJ1ZavgU69U/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       45.4559  ]
   [ 0.        0.        0.       ...  0.        0.       86.016045]
   [ 0.        0.        0.       ...  0.        0.       36.958828]]

  [[ 0.        0.        0.       ...  0.        0.       71.4886  ]
   [ 0.        0.        0.       ...  0.        0.       62.15447 ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]]]"
18,u7bnE6XiOEQ,https://i.ytimg.com/vi/u7bnE6XiOEQ/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       25.095266]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       47.819126]
   [ 0.        0.        0.       ...  0.        0.       41.78679 ]]]]"
19,LLAl-ahXOCo,https://i.ytimg.com/vi/LLAl-ahXOCo/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     3.6361487]
   [ 0.         0.         0.        ...  0.         0.
     6.785311 ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]]

  [[12.39388    0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    17.247774 ]]]]"
20,-5x9cssGR1E,https://i.ytimg.com/vi/-5x9cssGR1E/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     1.1805419]
   [ 0.         0.         0.        ...  0.         0.
    33.48779  ]
   [ 0.         0.         0.        ...  0.         0.
    15.716372 ]]

  [[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ... 19.586134   0.
     0.       ]]]]"
21,sLpmuKJDFxM,https://i.ytimg.com/vi/sLpmuKJDFxM/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    12.200383 ]
   [ 0.         0.         0.        ...  0.         0.
     2.1890826]]

  [[13.410626   0.         0.        ...  0.         0.
    28.760485 ]
   [40.944546   0.         0.        ...  0.         0.
    54.40438  ]
   [ 1.5027939  0.         0.        ...  0.         0.
    53.946354 ]]]]"
22,Ydn7TEKd_dU,https://i.ytimg.com/vi/Ydn7TEKd_dU/default.jpg,"[[[[ 0.          0.          0.         ...  0.          0.
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
    69.75285   ]
   [ 0.          0.          0.         ...  0.          0.13716322
    65.09764   ]]

  [[ 5.037964    0.          0.         ...  0.          0.
     0.        ]
   [ 3.4881434   0.          0.         ...  0.          0.
    78.45586   ]
   [ 0.          0.          0.         ...  0.          0.
    90.16837   ]]]]"
23,7iPyz6Yqwl4,https://i.ytimg.com/vi/7iPyz6Yqwl4/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       20.292454]
   [ 0.        0.        0.       ...  0.        0.       34.597336]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.       31.721127]
   [ 0.        0.        0.       ... 60.100533  0.       38.33439 ]
   [ 1.727612  0.        0.       ... 53.840836  0.        0.      ]]]]"
24,T1qjjr2V-7g,https://i.ytimg.com/vi/T1qjjr2V-7g/default.jpg,"[[[[ 0.         0.         0.        ...  0.         1.2683535
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    14.049701 ]]

  [[ 0.         0.        28.62307   ... 31.74819    0.
    13.150642 ]
   [ 0.         0.         0.        ... 50.885757   0.
    56.518955 ]
   [ 0.         0.         0.        ... 54.473415   0.
    54.12302  ]]]]"
25,vmBv2DSbs7g,https://i.ytimg.com/vi/vmBv2DSbs7g/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
26,iXhnL4oqY0s,https://i.ytimg.com/vi/iXhnL4oqY0s/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       18.04409 ]
   [ 0.        0.        0.       ...  0.        0.       28.204323]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.       72.00269 ]
   [ 0.        0.        0.       ...  0.        0.       71.67339 ]
   [ 0.        0.        0.       ...  0.        0.       15.482227]]]]"
